"梗词","发布","编辑","图文","日期","短释义","长释义","素材","Fahy 锐评","David 锐评","Enyu 锐评","Tippi 锐评"
BB 剧场,True,David,Fahy Gao,04/26/2023,使用抠图素材创作的剧情向视频。,BB剧场（日文：BB劇場）指的是一种利用 BB 素材创作的剧情向视频。“BB”是“Blue Background”的缩写，翻译成“蓝幕”，指的是蓝色背景的素材视频。也有以其他颜色（例如绿幕 GB）作为背景的。近期的 Happy 猫视频与早年流行的 Inm 剧场等都可归于此类。,"BB剧场 - 萌娘百科_万物皆可萌的百科全书 (moegirl.org.cn)
【个人向】关于我对BB剧场入门的见解 - 哔哩哔哩 (bilibili.com)
【bb剧场】冰 室 保 卫 战【上篇】_哔哩哔哩_bilibili
猫猫们冲浪，happy猫命悬一线！（未完待续）_哔哩哔哩_bilibili",,10+110 经典老番,,
Gigachad,True,"David,Fahy Gao",Fahy Gao,03/15/2023,超大劲爆猛男,指的是一类代表极度男性化、有性吸引力的男性。在网上又被网民称为最终版本的Chad Thundercock。最早来自一个艺术项目berlin.1969 / Ernest Khalimov。,,8+90 45度角下巴谁不喜欢,8+90 他一定能拯救人类,,
Sigma face,True,David,Fahy Gao,02/20/2023,对 Sigma 行为表示认可的表情,The Socio Sexual Hierarchy 中的 Sigma Male 指在社会或群体等级之外占有一定地位的雄性; 独狼或特立独行者。而美国精神病人 (2000) 中的 Bateman 的表情由于角色设定与演员精湛演技成为了代表性的 Sigma face。博主 @argenby 模仿此表情制作了一系列广泛传播的短视频。当场上有人做出 Sigma 行为时，你就可以用 Sigma face 作出回应。,"https://www.bilibili.com/video/BV1884y1p7GN/
https://www.youtube.com/shorts/qL3s5F8DZWE",7+80: zoolander,8+100 囧,7+100 ,7+90 goodtoknow
Siuuuu,True,David,Fahy Gao,04/26/2023,C 罗神必庆祝音效,出自 C 罗的胜利结算庆祝音效，意义不明，可用于任何庆祝场合。,"SUIIIIIIIIIIII (Original Video) - YouTube
Even coffees can SIUUUU ☕️😂 - YouTube
8 Cristiano Ronaldo Siuuuu Sound Variations in 60 Seconds - YouTube
Cristiano Ronaldo Siuuu Meme Compilation (2022) - YouTube",,,,
happy猫,True,Fahy Gao,"Fahy Gao,Enyu Wang,David",05/03/2023,Happy Happy Happy~,,,,,,
ljh,True,David,Fahy Gao,02/01/2023,原神梗,"释义第一页是如下解释：

ljh 意为老家伙，是来自二次元游戏《原神》的梗词。
《原神》是由米哈游自主研发的一款全新开放世界冒险游戏。游戏发生在一个被称作「提瓦特」的幻想世界，在这里，被神选中的人将被授予「神之眼」，导引元素之力。你将扮演一位名为「旅行者」的神秘角色
在自由的旅行中邂逅性格各异、能力独特的同伴们，和他们一起击败强敌，找回失散的亲人——同时，逐步发掘「原神」的真相。

释义第二页是真正含义：
“ljh” 是百度贴吧孙笑川吧网友发起的社会实验，可能的起源有两个
一说是一篇名为“有兴趣颠覆互联网吗？”的帖子，作者不明 —— 无法验证，原帖 404
二说是来自贴吧用户“天才少女伊蕾娜”的名为“大家我想到了一个很好玩的事情”的帖子
此网友希望借助网络的延后性与跟风特点，以及利用贴吧在中文互联网梗排泄链上处于顶层的地位，将没有任何意义的“ljh” 凭空造梗，看非硬核互联网用户的笑话，并且嘲讽包括 @词堂 在内的类梗百科自媒体。
【梗百科】ljh是什么意思？_哔哩哔哩_bilibili
最近突然流行的ljh是什么意思_哔哩哔哩_bilibili","http://b23.tv/3lzq4wK
http://b23.tv/0lBKRNO",6+100 (我不怎么熟悉原神，且这个梗理解起来可能需要大量文字阅读，担心用户停留时间不足导致理解不了）,10+70 原神部分纯属个人发病，这段定型文本身就是本意讽刺原神玩家之后逐渐万用化的固定句式，而ljh本身的讽刺意味令其成为近期烂梗中烂的最独特最刻意的一朵奇葩）,5+120(我不玩原神，但是原批很多，只要点赞就是好原批）,7+100 （nice to know 因为还蛮常见。期待原神玩家的互动）
quaso,True,David,Fahy Gao,02/17/2023,Croissant 的误读发音,TikTok 用户 @niclas.pb 在其视频中对 Croissant 的误读，这段音频因为其奇怪的笑点被用于各类二创手书,"https://knowyourmeme.com/memes/quaso
https://www.youtube.com/watch?v=OUANW4gGu1M
https://www.youtube.com/watch?v=UbEBhC9tvs0",7+90: 蛮好玩的，这种奇怪笑点很适合日常很喜欢,7+80 西方 meme 讲究的就是一个电波感和 get 不到的人就是 get 不到的诡异笑点。,9+160 QUASO 真的洗脑,6 + 90 大概 native speakers 更能get到
阿里嘎多美羊羊桑,True,David,Fahy Gao,02/02/2023,阴阳怪气沸羊羊,B 站UP主 一只风风o 制作的一个沸美 cp 向二创配音视频中「这一定就是原片吧9」中的台词，视频设定中沸羊羊和美羊羊是男女朋友的关系，视频中沸羊羊因为羚羊王子和美羊羊的互动吃醋，阴阳怪气的重复：“阿里嘎多美羊羊桑。” 作者的初衷并不是为了强化大家对于沸羊羊和美羊羊的刻板印象，但是许多观众将剧情与网络上对沸羊羊的超级舔狗刻板印象结合，形成了舔狗反擊の节目效果。,"https://www.bilibili.com/video/BV1vM41187wV/
https://www.bilibili.com/video/BV1c3411Q7XH
https://www.bilibili.com/video/BV1oT411o7D1/",7+130 （期待效果，xs）,6+100 烂梗,7+99 (火不火我不知道，但是我笑出声了）,6 +100 （好的）
北极鲶鱼,True,Fahy Gao,"Fahy Gao,Enyu Wang",03/27/2023,现实版低智天龙人,指同名微博用户。近日，因为她高调的炫富和特别臭的嘴而出名，被称为超越“周公子”的新一号揭家底，找举报选手。据网友爆料，“北极鲶鱼”的爷爷在03年便注册了资本1200万美元的公司，曾深圳局长，现因孙女的炫富在接受调查。 ,https://mp.weixin.qq.com/s/ixdbBvd3_-6Mv7uTWDzPNQ,10+140: 这种人是怎么长大的？,6+130 我觉得这不是梗 这是个热点,10+160 万一别人是包公主小号呢😳,
蝉鸣文学,True,David,Fahy Gao,02/24/2023,日出蝉鸣,"微博 @文手挑战bot 的一条“请用""盛夏””蝉鸣““少年” “橘子味汽水”四个词语造句” 的博文下的逆天回复。",https://www.bilibili.com/video/BV1Ry4y1f72Y/,7+110: 属于无心插柳类型，挺逗,6+100 偶尔整一下是好活，整多了可能会有点烂,,
德国骨科,True,Fahy Gao,Fahy Gao,04/03/2023,亲兄妹之间的💗❤️行为,一位在北美吐槽君上发帖的网友自述他因为推倒了自己的亲妹妹，被父亲打断了腿。之后去德国的骨科就医才痊愈。因此德国骨科成为了血亲相恋的代名词，又被进一步缩写成了骨科。,https://m.posts.careerengine.us/p/5a4c22822d3b4c6459cb1952,7+100: 本人不爱好吃瓜，但这个有够吃惊到继续阅读,,10+200 经典中的经典，没什么可说的,
电影院睡了三个小时,True,Fahy Gao,Fahy Gao,02/10/2023,流浪的都不好看！,出自B站某机械生命aoeas771。该Bot在所有关于流浪地球的文章、视频下都评论道：“不好看，电影院里睡了3个小时”。但因为调试的不够精准，核心触发词大概只有“流浪”二字，所以在一些流浪猫狗视频下面，也有它的这条评论，堪称关键词触发性睡眠的表现。,https://3g.163.com/dy/article/HSLR379605561GDO.html?spss=adap_pc,8+150: 关键词触发性睡眠的表现,8+120 春节档大热电影宣发相关梗，时事热点,,
俄罗斯娜娜,True,Fahy Gao,Fahy Gao,03/06/2023,国籍一换，粉丝百万。,"是抖音上一位来自中国的才艺视频
博主，使用外国人特效，
冒充俄罗斯人，说着俄式中文，
中式俄语，经常演唱老式中文歌，
带货着俄国特产，内容十分抽象。
粉丝一度近200万，
后因虚假人设被举报而封号",https://www.bilibili.com/video/BV11Z4y1m7jk/?spm_id_from=333.337.search-card.all.click&vd_source=5cf2a965e6d983e39f9228cdbb9fc9a0,10+170 就他妈离谱得笑死！！！,5+100 🇨🇳🇷🇺,6+90 真的像拐零,
空气都是甜的,True,Fahy Gao,Fahy Gao,03/03/2023,新旧结合6年后的俄亥俄,"起初是指17年马里兰大学
毕业典礼上一中国学生代表的演讲。
杨同学在她的演讲里
表达了对美国的高度肯定，
比如拿空气来做对比，觉得
美国的空气更甜。因举例奇葩，
人设过舔，随后被曝光，
走红网络多年。近日，俄亥俄州一辆列车出轨，
导致十万加仑的氯乙烯泄漏，
但因为氯乙烯的气味是甜的，所以
被网友们旧活新整，反复鞭尸。
案例如下：
“至于当时美国的空气甜不甜
我不知道，但是至少现在俄亥俄
的空气确实是甜的。”",,8+150 空气甜的俄亥俄一定会火！,8+120 旧活新整,,
孔乙己的长衫,True,Fahy Gao,Fahy Gao,03/25/2023,挑灯夜战十几年，一问月薪两三千 ," 出自于鲁迅的短篇小说《孔乙己》，
书中的“孔乙己”是一个落魄的书生，
耗尽年华也没能当朝做官，
即使穷困潦倒也放不下文人的身段，
而且不屑成为短衣帮做劳力生计。
国内网友自嘲学历是脱不下的长衫，
同时感慨毕业后走入社会的茫然",,7+100: 是你是我也是他,,,
马兆鸥,True,David,Fahy Gao,02/24/2023,《流浪地球2》中的角色马兆的拟人化海鸥形象,网友发现 OCE 睿智海鸥 Oddy 公仔的表情包中带着眼镜的形象与《流浪地球2》中的角色马兆相似，并套用后者的台词与设定进行的二次创作。,"【【梗百科】马兆海鸥是什么梗？】 https://www.bilibili.com/video/BV1PY411B7b7/
【【MMD】北京根服务器重启成功结算动画】 https://www.bilibili.com/video/BV1ov4y147tW/
【【流浪地球2】马老师的极乐净土【MMD】】 https://www.bilibili.com/video/BV1rd4y1J7k1/",8+110:昨天刚见实体玩偶，有被笑到,7+100 我不知道原作者怎么看,,
青海摇,True,Fahy Gao,Fahy Gao,02/08/2023,富有中国特色民族风情的慢摇,"是社会摇舞步的一种类型。在说起青海摇之前，必须要提到社会摇和西安摇。首先下面是“社会摇”的定义：
（第三页图片）

其次是“西安摇”：（第四页）


综上所述，后起之秀的青海摇便是在社会摇的基础上融入了青海的民族舞蹈，成为了当下属于年轻人的新舞种。其中，比较有代表性且出圈的是正规军@刘诗尧的舞蹈。（第五页）","【青海摇，但是phonk(Одна)-哔哩哔哩】 https://b23.tv/OJrxQPA

【青海摇，但是海绵宝宝-哔哩哔哩】 https://b23.tv/GEDbOyh

【青海摇，但是这么可爱真是抱歉-哔哩哔哩】 https://b23.tv/3zdSuC5

【青海摇，但是七彩阳光-哔哩哔哩】 https://b23.tv/3bHAezC

【青海摇是什么梗【梗指南】-哔哩哔哩】 https://b23.tv/vQnhcCq


【青海摇原版视频-哔哩哔哩】 https://b23.tv/sUaWzIL

【《 青 海 摇 》-哔哩哔哩】 https://b23.tv/BnctoqJ",7+120: 雅俗共赏，ig最不受人讨厌的就是来自快手的土。,6+110 土味每隔一段时间都翻红一次，前有@瑶生Y 这样懂互联网潮流文化的摇子降维打击，后有万能百搭青海摇涌现大量换歌二创，互联网究竟什么是雅，什么是俗，谁又能在这股土味风暴中给出答案呢。,,5+120 地区化➕土梗 对我来说太无感 只能说 好的
情人节捡垃圾的收获,True,Fahy Gao,Fahy Gao,02/15/2023,《见证爱情》,小红书上情人节后最火话题。指的是网友去周边垃圾桶翻找值钱东西的猎奇行为。对于找到的东西可谓是“没有你挖不到，只有你想不到”；不仅有各种花，甚至有项链、崭新奢侈品化妆品衣物，甚至蛋糕等。 ,"53 小马的吃喝日记发布了一篇小红书笔记，快来看吧！ 😆 kDPPxASrH0A8rcx 😆 http://xhslink.com/A1B7on，复制本条信息，打开【小红书】App查看精彩内容！
",8+120: 还有比这个更正当期待别人分手的理由吗？,6+110 我经常捡垃圾，小红书 @留学垃圾佬,8+110 谁看小红书谁知道,8+ 100 单身人们的复仇宴
人民网锐评鸡你太美,True,David,Fahy Gao,03/21/2023,背弃人民的人民网,3.7 日人民网评鸡你太美是恶俗烂梗，引起网友剧烈反弹，许多人引用周恩来“人民喜闻乐见，你不喜欢，你算老几？”的评论进行反驳。评论发出后人民网掉粉四千万。,"【【杂谈】人民网评鸡你太美是恶俗烂梗】 https://www.bilibili.com/video/BV1hx4y1N7i7/
【只有他能让人民网从一亿粉丝掉到6000万，因为她是一个真正的man】 https://www.bilibili.com/video/BV1Ks4y1V7Tc/
【人民网下面全是小黑子】 https://www.bilibili.com/video/BV1a24y1G7cH/",8+100: 蔡徐坤粉丝自占4000w,,,
网络减速带,True,Fahy Gao,Fahy Gao,03/20/2023,什么东西这么怪？再看看,指社交平台上一些没什么营养，但是正好对你口味很上头的视频，所以会停下来观看。例如洗毯子、修鞋子、耳机广告一类的视频。,,6+90 每天都在被祸害,,,
